#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2007-01-01 00:00:00+00:00 2007-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HPN,2007-01-01 00:56,-73.7075,41.0669,37.40,28.40,69.67,150.00,4.00,M,30.34,M,10.00,M,BKN,OVC,   ,   ,4700.00,10000.00,M,M,M,M,M,M,M,M,M,33.73,METAR KHPN 010056Z 15004KT 10SM BKN047 OVC100 03/M02 A3034
HPN,2007-01-01 01:56,-73.7075,41.0669,39.20,30.20,69.88,150.00,6.00,M,30.30,M,10.00,M,BKN,OVC,   ,   ,4700.00,10000.00,M,M,M,M,M,M,M,M,M,34.20,METAR KHPN 010156Z 15006KT 10SM BKN047 OVC100 04/M01 A3030
HPN,2007-01-01 02:56,-73.7075,41.0669,39.20,30.20,69.88,150.00,5.00,M,30.29,M,10.00,M,BKN,OVC,   ,   ,4000.00,9000.00,M,M,M,M,M,M,M,M,M,34.95,METAR KHPN 010256Z 15005KT 10SM BKN040 OVC090 04/M01 A3029
HPN,2007-01-01 03:56,-73.7075,41.0669,39.92,30.92,69.96,150.00,5.00,M,30.27,1025.70,10.00,M,OVC,   ,   ,   ,4000.00,M,M,M,M,M,M,M,M,M,M,35.80,METAR KHPN 010356Z 15005KT 10SM OVC040 04/M01 A3027 RMK AO2 SLP257 T00441006
HPN,2007-01-01 04:56,-73.7075,41.0669,39.92,32.00,73.08,130.00,5.00,M,30.24,1024.50,10.00,M,OVC,   ,   ,   ,4000.00,M,M,M,M,M,M,M,M,M,M,35.80,METAR KHPN 010456Z 13005KT 10SM OVC040 04/00 A3024 RMK AO2 SLP245 T00440000 400671028
HPN,2007-01-01 05:56,-73.7075,41.0669,41.00,33.98,75.88,130.00,8.00,M,30.21,1023.40,10.00,M,OVC,   ,   ,   ,3800.00,M,M,M,M,M,M,M,M,M,M,35.20,METAR KHPN 010556Z 13008KT 10SM OVC038 05/01 A3021 RMK AO2 SLP234 T00500011 10050 20028 58027
HPN,2007-01-01 06:56,-73.7075,41.0669,42.80,33.80,70.28,120.00,8.00,M,30.18,M,10.00,M,OVC,   ,   ,   ,3800.00,M,M,M,M,M,M,M,M,M,M,37.42,METAR KHPN 010656Z 12008KT 10SM OVC038 06/01 A3018
HPN,2007-01-01 07:56,-73.7075,41.0669,41.00,37.04,85.67,120.00,8.00,M,30.13,1021.00,10.00,M,OVC,   ,   ,   ,2700.00,M,M,M,-RA,M,M,M,M,M,M,35.20,METAR KHPN 010756Z 12008KT 10SM -RA OVC027 05/03 A3013 RMK AO2 RAB23 SLP210 P0000 T00500028
HPN,2007-01-01 08:56,-73.7075,41.0669,42.80,39.20,86.99,130.00,6.00,M,30.11,M,6.00,M,OVC,   ,   ,   ,1000.00,M,M,M,-RA BR,M,M,M,M,M,M,38.54,METAR KHPN 010856Z 13006KT 6SM -RA BR OVC010 06/04 A3011
HPN,2007-01-01 09:56,-73.7075,41.0669,42.98,42.08,96.60,130.00,10.00,0.05,30.06,1018.50,2.00,M,BKN,OVC,   ,   ,200.00,500.00,M,M,-RA BR,M,M,M,M,M,M,36.74,METAR KHPN 010956Z COR 13010KT 2SM -RA BR BKN002 OVC005 06/06 A3006 RMK AO2 SLP185 P0005 T00610056
