#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2009-01-01 00:00:00+00:00 2009-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HPN,2009-01-01 00:56,-73.7075,41.0669,15.98,1.04,51.03,310.00,24.00,M,29.85,M,6.00,34.00,SCT,   ,   ,   ,4000.00,M,M,M,M,M,M,M,35.00,320.00,2009-01-01 00:43,-3.55,METAR KHPN 010056Z 31024G34KT 6SM BLSN SCT040 M09/M17 A2985 RMK AO2 PK WND 32035/0043 SLP121 T10891172
HPN,2009-01-01 01:56,-73.7075,41.0669,15.08,-0.04,50.46,310.00,20.00,M,29.87,M,10.00,30.00,SCT,   ,   ,   ,10000.00,M,M,M,M,M,M,M,34.00,310.00,2009-01-01 01:10,-3.33,METAR KHPN 010156Z 31020G30KT 10SM BLSN SCT100 M09/M18 A2987 RMK AO2 PK WND 31034/0110 SLP125 T10941178
HPN,2009-01-01 02:56,-73.7075,41.0669,15.08,-0.94,48.37,310.00,24.00,M,29.87,M,10.00,34.00,FEW,   ,   ,   ,6000.00,M,M,M,M,M,M,M,39.00,310.00,2009-01-01 02:31,-4.77,METAR KHPN 010256Z 31024G34KT 10SM BLSN FEW060 M09/M18 A2987 RMK AO2 PK WND 31039/0231 SLP127 T10941183 51015
HPN,2009-01-01 03:56,-73.7075,41.0669,15.08,-0.94,48.37,310.00,17.00,M,29.89,M,10.00,29.00,FEW,   ,   ,   ,6000.00,M,M,M,M,M,M,M,31.00,310.00,2009-01-01 03:00,-2.09,METAR KHPN 010356Z 31017G29KT 10SM BLSN FEW060 M09/M18 A2989 RMK AO2 PK WND 31031/0300 SLP135 T10941183
HPN,2009-01-01 04:56,-73.7075,41.0669,14.00,-0.04,52.90,310.00,22.00,M,29.91,M,7.00,34.00,FEW,   ,   ,   ,10000.00,M,M,M,M,M,M,M,34.00,310.00,2009-01-01 04:50,-5.52,METAR KHPN 010456Z 31022G34KT 7SM FEW100 M10/M18 A2991 RMK AO2 PK WND 31034/0450 SLP141 T11001178 410111100
HPN,2009-01-01 06:56,-73.7075,41.0669,14.00,-0.94,50.71,320.00,25.00,M,29.94,1015.30,9.00,35.00,CLR,   ,   ,   ,M,M,M,M,BLSN,M,M,M,M,M,M,-6.56,METAR KHPN 010656Z 32025G35KT 9SM BLSN CLR M10/M18 A2994 RMK AO2 PK WND 32040/0601 SLP153 T11001183
HPN,2009-01-01 07:56,-73.7075,41.0669,14.00,-0.94,50.71,310.00,20.00,M,29.98,1016.50,10.00,29.00,CLR,   ,   ,   ,M,M,M,M,BLSN,M,M,M,M,M,M,-4.77,METAR KHPN 010756Z 31020G29KT 10SM BLSN CLR M10/M18 A2998 RMK AO2 PK WND 32038/0741 SLP165 T11001183
HPN,2009-01-01 08:56,-73.7075,41.0669,12.92,-2.02,50.52,320.00,18.00,M,30.01,1017.50,8.00,36.00,FEW,   ,   ,   ,10000.00,M,M,M,BLSN,M,M,M,M,M,M,-5.37,METAR KHPN 010856Z 32018G36KT 8SM BLSN FEW100 M11/M19 A3001 RMK AO2 PK WND 31041/0758 SNB24E56 SLP175 P0000 60000 T11061189 53026
HPN,2009-01-01 09:56,-73.7075,41.0669,12.02,-2.02,52.57,320.00,21.00,M,30.03,1018.50,10.00,29.00,FEW,   ,   ,   ,8000.00,M,M,M,BLSN,M,M,M,M,M,M,-7.79,METAR KHPN 010956Z 32021G29KT 10SM BLSN FEW080 M11/M19 A3003 RMK AO2 PK WND 31039/0902 SLP185 T11111189
HPN,2009-01-01 10:56,-73.7075,41.0669,12.02,-2.92,50.37,320.00,19.00,M,30.08,1020.00,10.00,29.00,FEW,   ,   ,   ,8000.00,M,M,M,BLSN,M,M,M,M,M,M,-6.98,METAR KHPN 011056Z 32019G29KT 10SM BLSN FEW080 M11/M19 A3008 RMK AO2 PK WND 30029/1054 SLP200 T11111194
