#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2014-01-01 00:00:00+00:00 2014-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HPN,2014-01-01 00:56,-73.7075,41.0669,28.04,12.02,50.52,310.00,13.00,0.00,30.14,1021.80,10.00,23.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.50,KHPN 010056Z 31013G23KT 10SM CLR M02/M11 A3014 RMK AO2 SLP218 T10221111
HPN,2014-01-01 01:56,-73.7075,41.0669,26.96,10.04,48.36,310.00,11.00,0.00,30.18,1023.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.10,KHPN 010156Z 31011KT 10SM CLR M03/M12 A3018 RMK AO2 SLP231 T10281122
HPN,2014-01-01 02:56,-73.7075,41.0669,26.06,5.00,39.96,290.00,11.00,0.00,30.21,1024.00,10.00,18.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.96,KHPN 010256Z 29011G18KT 10SM CLR M03/M15 A3021 RMK AO2 SLP240 T10331150 53026
HPN,2014-01-01 03:56,-73.7075,41.0669,24.08,5.00,43.40,300.00,15.00,0.00,30.22,1024.50,10.00,20.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,10.51,KHPN 010356Z 30015G20KT 10SM CLR M04/M15 A3022 RMK AO2 SLP245 T10441150
HPN,2014-01-01 04:56,-73.7075,41.0669,24.08,5.00,43.40,270.00,5.00,0.00,30.24,1025.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.99,KHPN 010456Z 27005KT 10SM CLR M04/M15 A3024 RMK AO2 SLP251 T10441150 410171089
HPN,2014-01-01 05:56,-73.7075,41.0669,23.00,3.92,43.21,280.00,6.00,0.00,30.24,1025.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.69,KHPN 010556Z 28006KT 10SM CLR M05/M16 A3024 RMK AO2 SLP252 T10501156 11017 21056 51011
HPN,2014-01-01 06:56,-73.7075,41.0669,21.92,3.92,45.22,270.00,7.00,0.00,30.27,1026.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.49,KHPN 010656Z 27007KT 250V310 10SM CLR M06/M16 A3027 RMK AO2 SLP263 T10561156
HPN,2014-01-01 07:56,-73.7075,41.0669,21.02,5.00,49.37,260.00,4.00,0.00,30.29,1027.00,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.60,KHPN 010756Z 26004KT 10SM CLR M06/M15 A3029 RMK AO2 SLP270 T10611150
HPN,2014-01-01 08:56,-73.7075,41.0669,21.02,6.08,51.86,260.00,4.00,0.00,30.30,1027.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.60,KHPN 010856Z 26004KT 10SM CLR M06/M14 A3030 RMK AO2 SLP272 T10611144 51020
HPN,2014-01-01 09:56,-73.7075,41.0669,21.02,6.08,51.86,M,6.00,0.00,30.30,1027.30,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,12.31,KHPN 010956Z VRB06KT 10SM CLR M06/M14 A3030 RMK AO2 SLP273 T10611144
HPN,2014-01-01 10:56,-73.7075,41.0669,19.94,6.08,54.30,250.00,3.00,0.00,30.33,1028.20,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.90,KHPN 011056Z 25003KT 10SM CLR M07/M14 A3033 RMK AO2 SLP282 T10671144
HPN,2014-01-01 11:56,-73.7075,41.0669,19.94,6.98,56.56,0.00,0.00,0.00,30.34,1028.70,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,19.94,KHPN 011156Z 00000KT 10SM CLR M07/M14 A3034 RMK AO2 SLP287 T10671139 11050 21067 53014
HPN,2014-01-01 12:56,-73.7075,41.0669,21.02,8.96,59.08,0.00,0.00,0.00,30.36,1029.10,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,21.02,KHPN 011256Z 00000KT 10SM CLR M06/M13 A3036 RMK AO2 SLP291 T10611128
HPN,2014-01-01 13:56,-73.7075,41.0669,23.00,8.96,54.34,0.00,0.00,0.00,30.37,1029.60,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,23.00,KHPN 011356Z 00000KT 10SM CLR M05/M13 A3037 RMK AO2 SLP296 T10501128
HPN,2014-01-01 14:56,-73.7075,41.0669,26.06,10.94,52.25,290.00,7.00,0.00,30.38,1029.90,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,17.54,KHPN 011456Z 29007KT 10SM CLR M03/M12 A3038 RMK AO2 SLP299 T10331117 51012
HPN,2014-01-01 15:56,-73.7075,41.0669,26.96,10.04,48.36,300.00,10.00,0.00,30.37,1029.40,10.00,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,16.65,KHPN 011556Z 30010KT 10SM CLR M03/M12 A3037 RMK AO2 SLP294 T10281122
HPN,2014-01-01 16:56,-73.7075,41.0669,28.04,10.94,48.15,270.00,6.00,0.00,30.35,1028.70,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,20.76,KHPN 011656Z 27006KT 10SM FEW100 M02/M12 A3035 RMK AO2 SLP287 T10221117
HPN,2014-01-01 17:56,-73.7075,41.0669,28.94,10.94,46.41,290.00,6.00,0.00,30.32,1027.90,10.00,M,BKN,M,M,M,5000.00,M,M,M,M,M,M,M,M,M,M,21.84,KHPN 011756Z 29006KT 10SM BKN050 M02/M12 A3032 RMK AO2 SLP279 T10171117 11017 21067 58019
HPN,2014-01-01 18:56,-73.7075,41.0669,28.94,12.02,48.69,240.00,3.00,0.00,30.32,1027.70,10.00,M,SCT,BKN,M,M,5000.00,7000.00,M,M,M,M,M,M,M,M,M,25.19,KHPN 011856Z 24003KT 10SM SCT050 BKN070 M02/M11 A3032 RMK AO2 SLP277 T10171111
HPN,2014-01-01 19:56,-73.7075,41.0669,30.02,12.92,48.48,0.00,0.00,0.00,30.31,1027.40,10.00,M,FEW,BKN,M,M,6500.00,8000.00,M,M,M,M,M,M,M,M,M,30.02,KHPN 011956Z 00000KT 10SM FEW065 BKN080 M01/M11 A3031 RMK AO2 SLP274 T10111106
HPN,2014-01-01 20:56,-73.7075,41.0669,30.02,12.92,48.48,0.00,0.00,0.00,30.31,1027.40,10.00,M,SCT,OVC,M,M,8000.00,9500.00,M,M,M,M,M,M,M,M,M,30.02,KHPN 012056Z 00000KT 10SM SCT080 OVC095 M01/M11 A3031 RMK AO2 SLP274 T10111106 56005
HPN,2014-01-01 21:56,-73.7075,41.0669,30.02,14.00,50.84,0.00,0.00,0.00,30.30,1027.30,10.00,M,BKN,M,M,M,9500.00,M,M,M,M,M,M,M,M,M,M,30.02,KHPN 012156Z 00000KT 10SM BKN095 M01/M10 A3030 RMK AO2 SLP273 T10111100
HPN,2014-01-01 22:56,-73.7075,41.0669,28.94,14.00,53.13,70.00,3.00,0.00,30.30,1027.20,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,25.19,KHPN 012256Z 07003KT 10SM OVC100 M02/M10 A3030 RMK AO2 SLP272 T10171100
HPN,2014-01-01 23:56,-73.7075,41.0669,28.04,14.00,55.12,60.00,3.00,0.00,30.31,1027.60,10.00,M,FEW,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,24.16,KHPN 012356Z 06003KT 10SM FEW100 M02/M10 A3031 RMK AO2 SLP276 T10221100 11011 21022 53001
HPN,2014-01-02 00:56,-73.7075,41.0669,28.04,12.92,52.57,40.00,5.00,0.00,30.30,1027.20,10.00,M,BKN,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,21.69,KHPN 020056Z 04005KT 10SM BKN100 M02/M11 A3030 RMK AO2 SLP272 T10221106
HPN,2014-01-02 01:56,-73.7075,41.0669,28.04,12.92,52.57,40.00,4.00,0.00,30.29,1026.90,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,22.80,KHPN 020156Z 04004KT 10SM BKN110 M02/M11 A3029 RMK AO2 SLP269 T10221106
