#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2006-01-01 00:00:00+00:00 2006-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HPN,2006-01-01 00:56,-73.7075,41.0669,30.02,26.96,88.22,360.00,6.00,0.02,29.77,M,3.00,M,OVC,   ,   ,   ,700.00,M,M,M,M,M,M,M,M,M,M,23.15,METAR KHPN 010056Z 36006KT 3SM BR OVC007 M01/M03 A2977 RMK AO2 UPB45E49SNE45 SLP089 P0002 T10111028
HPN,2006-01-01 01:56,-73.7075,41.0669,28.40,26.60,92.86,360.00,5.00,M,29.78,M,2.50,M,OVC,   ,   ,   ,700.00,M,M,M,M,M,M,M,M,M,M,22.12,METAR KHPN 010156Z 36005KT 2 1/2SM UP BR OVC007 M02/M03 A2978
HPN,2006-01-01 02:56,-73.7075,41.0669,28.40,26.60,92.86,350.00,7.00,M,29.78,M,3.00,M,OVC,   ,   ,   ,700.00,M,M,M,M,M,M,M,M,M,M,20.39,METAR KHPN 010256Z 35007KT 3SM BR OVC007 M02/M03 A2978
HPN,2006-01-01 04:56,-73.7075,41.0669,28.94,26.96,92.19,10.00,5.00,M,29.79,M,6.00,M,OVC,   ,   ,   ,700.00,M,M,M,M,M,M,M,M,M,M,22.76,METAR KHPN 010456Z 01005KT 6SM BR OVC007 M02/M03 A2979 RMK AO2 SLP096 T10171028 410061028
HPN,2006-01-01 05:56,-73.7075,41.0669,28.40,26.60,92.86,350.00,4.00,M,29.81,M,5.00,M,SCT,OVC,   ,   ,700.00,1600.00,M,M,BR,M,M,M,M,M,M,23.22,METAR KHPN 010556Z 35004KT 5SM BR SCT007 OVC016 M02/M03 A2981
HPN,2006-01-01 06:56,-73.7075,41.0669,30.20,26.60,86.28,10.00,6.00,M,29.84,M,5.00,M,BKN,OVC,   ,   ,500.00,1000.00,M,M,BR,M,M,M,M,M,M,23.36,METAR KHPN 010656Z 01006KT 5SM BR BKN005 OVC010 M01/M03 A2984
HPN,2006-01-01 07:56,-73.7075,41.0669,30.02,26.96,88.22,350.00,4.00,M,29.86,1012.00,6.00,M,SCT,OVC,   ,   ,1500.00,4500.00,M,M,BR,M,M,M,M,M,M,25.11,METAR KHPN 010756Z 35004KT 6SM BR SCT015 OVC045 M01/M03 A2986 RMK AO2 SLP120 T10111028
HPN,2006-01-01 08:56,-73.7075,41.0669,30.02,26.96,88.22,330.00,4.00,M,29.87,1012.40,7.00,M,SCT,OVC,   ,   ,1500.00,5000.00,M,M,M,M,M,M,M,M,M,25.11,METAR KHPN 010856Z 33004KT 7SM SCT015 OVC050 M01/M03 A2987 RMK AO2 SLP124 T10111028 51021
HPN,2006-01-01 09:56,-73.7075,41.0669,28.94,24.98,84.93,290.00,4.00,M,29.90,1013.40,7.00,M,SCT,OVC,   ,   ,1100.00,4900.00,M,M,M,M,M,M,M,M,M,23.85,METAR KHPN 010956Z 29004KT 7SM SCT011 OVC049 M02/M04 A2990 RMK AO2 SLP134 T10171039
HPN,2006-01-01 10:56,-73.7075,41.0669,30.02,26.96,88.22,360.00,5.00,M,29.91,1013.90,7.00,M,SCT,OVC,   ,   ,1000.00,4700.00,M,M,M,M,M,M,M,M,M,24.04,METAR KHPN 011056Z 36005KT 7SM SCT010 OVC047 M01/M03 A2991 RMK AO2 SLP139 T10111028
HPN,2006-01-01 11:56,-73.7075,41.0669,30.20,26.60,86.28,0.00,0.00,M,29.93,M,7.00,M,BKN,   ,   ,   ,4300.00,M,M,M,M,M,M,M,M,M,M,30.20,METAR KHPN 011156Z 00000KT 7SM BKN043 M01/M03 A2993
HPN,2006-01-01 12:56,-73.7075,41.0669,30.02,26.96,88.22,0.00,0.00,M,29.95,1015.00,6.00,M,BKN,OVC,   ,   ,3900.00,5000.00,M,M,BR,M,M,M,M,M,M,30.02,METAR KHPN 011256Z 00000KT 6SM BR BKN039 OVC050 M01/M03 A2995 RMK AO2 SLP150 T10111028
HPN,2006-01-01 13:56,-73.7075,41.0669,30.02,26.96,88.22,0.00,0.00,M,29.98,1016.20,6.00,M,BKN,OVC,   ,   ,4900.00,6000.00,M,M,BR,M,M,M,M,M,M,30.02,METAR KHPN 011356Z 00000KT 6SM BR BKN049 OVC060 M01/M03 A2998 RMK AO2 SLP162 T10111028
HPN,2006-01-01 14:56,-73.7075,41.0669,30.92,26.96,85.05,0.00,0.00,M,30.01,1017.10,7.00,M,SCT,OVC,   ,   ,1300.00,4300.00,M,M,M,M,M,M,M,M,M,30.92,METAR KHPN 011456Z 00000KT 7SM SCT013 OVC043 M01/M03 A3001 RMK AO2 SLP171 T10061028 53026
HPN,2006-01-01 15:56,-73.7075,41.0669,32.00,26.60,80.22,0.00,0.00,M,30.02,M,7.00,M,BKN,OVC,   ,   ,4700.00,6000.00,M,M,M,M,M,M,M,M,M,32.00,METAR KHPN 011556Z 00000KT 7SM BKN047 OVC060 00/M03 A3002
HPN,2006-01-01 16:56,-73.7075,41.0669,33.08,26.96,77.96,0.00,0.00,M,30.03,1017.60,10.00,M,BKN,OVC,   ,   ,4500.00,6000.00,M,M,M,M,M,M,M,M,M,33.08,METAR KHPN 011656Z 00000KT 10SM BKN045 OVC060 01/M03 A3003 RMK AO2 SLP176 T00061028
HPN,2006-01-01 17:56,-73.7075,41.0669,33.80,28.40,80.36,190.00,3.00,M,30.03,M,9.00,M,BKN,   ,   ,   ,6000.00,M,M,M,M,M,M,M,M,M,M,30.75,METAR KHPN 011756Z 19003KT 9SM BKN060 01/M02 A3003
HPN,2006-01-01 18:56,-73.7075,41.0669,35.06,28.04,75.31,0.00,0.00,M,30.04,1017.90,8.00,M,OVC,   ,   ,   ,6000.00,M,M,M,M,M,M,M,M,M,M,35.06,METAR KHPN 011856Z 00000KT 8SM OVC060 02/M02 A3004 RMK AO2 SLP179 T00171022
HPN,2006-01-01 19:56,-73.7075,41.0669,35.06,30.02,81.65,0.00,0.00,M,30.06,1018.50,7.00,M,OVC,   ,   ,   ,5000.00,M,M,M,M,M,M,M,M,M,M,35.06,METAR KHPN 011956Z AUTO 00000KT 7SM OVC050 02/M01 A3006 RMK AO2 SLP185 T00171011 TSNO
HPN,2006-01-01 20:56,-73.7075,41.0669,35.06,30.02,81.65,0.00,0.00,M,30.08,1019.30,6.00,M,OVC,   ,   ,   ,5500.00,M,M,M,HZ,M,M,M,M,M,M,35.06,METAR KHPN 012056Z 00000KT 6SM HZ OVC055 02/M01 A3008 RMK AO2 SLP193 T00171011 53018
HPN,2006-01-01 21:56,-73.7075,41.0669,33.98,30.92,88.42,0.00,0.00,M,30.10,1020.20,7.00,M,OVC,   ,   ,   ,5500.00,M,M,M,M,M,M,M,M,M,M,33.98,METAR KHPN 012156Z 00000KT 7SM OVC055 01/M01 A3010 RMK AO2 SLP202 T00111006
HPN,2006-01-01 22:56,-73.7075,41.0669,33.08,30.92,91.66,0.00,0.00,M,30.12,1020.70,6.00,M,OVC,   ,   ,   ,5000.00,M,M,M,BR,M,M,M,M,M,M,33.08,METAR KHPN 012256Z 00000KT 6SM BR OVC050 01/M01 A3012 RMK AO2 SLP207 T00061006
HPN,2006-01-01 23:56,-73.7075,41.0669,35.60,32.00,86.59,0.00,0.00,M,30.13,M,5.00,M,OVC,   ,   ,   ,5500.00,M,M,M,BR,M,M,M,M,M,M,35.60,METAR KHPN 012356Z 00000KT 5SM BR OVC055 02/00 A3013
HPN,2006-01-02 00:56,-73.7075,41.0669,33.08,30.92,91.66,0.00,0.00,M,30.15,1021.80,4.00,M,OVC,   ,   ,   ,5500.00,M,M,M,BR,M,M,M,M,M,M,33.08,METAR KHPN 020056Z 00000KT 4SM BR OVC055 01/M01 A3015 RMK AO2 SLP218 T00061006
HPN,2006-01-02 01:56,-73.7075,41.0669,33.08,30.92,91.66,0.00,0.00,M,30.15,1021.80,4.00,M,OVC,   ,   ,   ,5000.00,M,M,M,BR,M,M,M,M,M,M,33.08,METAR KHPN 020156Z 00000KT 4SM BR OVC050 01/M01 A3015 RMK AO2 SLP218 T00061006
HPN,2006-01-02 02:56,-73.7075,41.0669,33.80,30.20,86.49,0.00,0.00,M,30.15,M,4.00,M,OVC,   ,   ,   ,5000.00,M,M,M,BR,M,M,M,M,M,M,33.80,METAR KHPN 020256Z 00000KT 4SM BR OVC050 01/M01 A3015
HPN,2006-01-02 03:56,-73.7075,41.0669,33.08,30.92,91.66,0.00,0.00,M,30.16,1022.00,3.00,M,OVC,   ,   ,   ,5500.00,M,M,M,BR,M,M,M,M,M,M,33.08,METAR KHPN 020356Z 00000KT 3SM BR OVC055 01/M01 A3016 RMK AO2 SLP220 T00061006
HPN,2006-01-02 04:56,-73.7075,41.0669,35.96,33.08,89.16,290.00,5.00,M,30.17,1022.30,3.00,M,OVC,   ,   ,   ,5500.00,M,M,M,BR,M,M,M,M,M,M,31.10,METAR KHPN 020456Z 29005KT 3SM BR OVC055 02/01 A3017 RMK AO2 SLP223 T00220006 400221022
HPN,2006-01-02 05:56,-73.7075,41.0669,35.06,32.00,88.47,300.00,4.00,M,30.17,1022.50,7.00,M,OVC,   ,   ,   ,5500.00,M,M,M,M,M,M,M,M,M,M,30.99,METAR KHPN 020556Z 30004KT 7SM OVC055 02/00 A3017 RMK AO2 SLP225 T00170000 10022 20000 51007
HPN,2006-01-02 06:56,-73.7075,41.0669,35.96,30.92,81.72,300.00,5.00,M,30.20,1023.30,9.00,M,OVC,   ,   ,   ,12000.00,M,M,M,M,M,M,M,M,M,M,31.10,METAR KHPN 020656Z 30005KT 9SM OVC120 02/M01 A3020 RMK AO2 SLP233 T00221006
HPN,2006-01-02 07:56,-73.7075,41.0669,33.08,30.02,88.37,360.00,3.00,M,30.19,1023.00,8.00,M,OVC,   ,   ,   ,11000.00,M,M,M,M,M,M,M,M,M,M,29.92,METAR KHPN 020756Z 36003KT 8SM OVC110 01/M01 A3019 RMK AO2 SLP230 T00061011
HPN,2006-01-02 08:56,-73.7075,41.0669,33.08,30.92,91.66,340.00,3.00,M,30.19,1023.10,5.00,M,BKN,   ,   ,   ,10000.00,M,M,M,BR,M,M,M,M,M,M,29.92,METAR KHPN 020856Z 34003KT 5SM BR BKN100 01/M01 A3019 RMK AO2 SLP231 T00061006 51006
HPN,2006-01-02 09:56,-73.7075,41.0669,33.08,30.92,91.66,0.00,0.00,M,30.18,1022.80,4.00,M,BKN,   ,   ,   ,10000.00,M,M,M,BR,M,M,M,M,M,M,33.08,METAR KHPN 020956Z 00000KT 4SM BR BKN100 01/M01 A3018 RMK AO2 SLP228 T00061006
HPN,2006-01-02 10:56,-73.7075,41.0669,33.98,32.00,92.36,0.00,0.00,M,30.19,1023.10,5.00,M,OVC,   ,   ,   ,10000.00,M,M,M,BR,M,M,M,M,M,M,33.98,METAR KHPN 021056Z 00000KT 5SM BR OVC100 01/00 A3019 RMK AO2 SLP231 T00110000
HPN,2006-01-02 11:56,-73.7075,41.0669,33.08,30.92,91.66,0.00,0.00,M,30.18,1022.70,5.00,M,BKN,BKN,   ,   ,8000.00,15000.00,M,M,BR,M,M,M,M,M,M,33.08,METAR KHPN 021156Z 00000KT 5SM BR BKN080 BKN150 01/M01 A3018 RMK AO2 SLP227 T00061006 10022 20000 58005
HPN,2006-01-02 12:56,-73.7075,41.0669,33.08,32.00,95.75,330.00,4.00,M,30.20,1023.40,6.00,M,BKN,BKN,   ,   ,10000.00,20000.00,M,M,BR,M,M,M,M,M,M,28.68,METAR KHPN 021256Z 33004KT 6SM BR BKN100 BKN200 01/00 A3020 RMK AO2 SLP234 T00060000
HPN,2006-01-02 13:56,-73.7075,41.0669,35.96,33.08,89.16,0.00,0.00,M,30.22,1024.10,4.00,M,SCT,   ,   ,   ,10000.00,M,M,M,BR,M,M,M,M,M,M,35.96,METAR KHPN 021356Z 00000KT 4SM BR SCT100 02/01 A3022 RMK AO2 SLP241 T00220006
HPN,2006-01-02 14:56,-73.7075,41.0669,37.94,33.08,82.46,150.00,3.00,M,30.23,1024.30,7.00,M,BKN,OVC,   ,   ,10000.00,12000.00,M,M,M,M,M,M,M,M,M,35.48,METAR KHPN 021456Z 15003KT 7SM BKN100 OVC120 03/01 A3023 RMK AO2 SLP243 T00330006 51017
HPN,2006-01-02 15:56,-73.7075,41.0669,39.02,33.08,79.05,130.00,4.00,M,30.20,1023.50,7.00,M,BKN,OVC,   ,   ,12000.00,15000.00,M,M,M,M,M,M,M,M,M,35.62,METAR KHPN 021556Z 13004KT 7SM BKN120 OVC150 04/01 A3020 RMK AO2 SLP235 T00390006
HPN,2006-01-02 16:56,-73.7075,41.0669,39.92,33.08,76.32,110.00,3.00,M,30.18,1022.80,7.00,M,BKN,OVC,   ,   ,12000.00,15000.00,M,M,M,M,M,M,M,M,M,37.74,METAR KHPN 021656Z 11003KT 7SM BKN120 OVC150 04/01 A3018 RMK AO2 SLP228 T00440006
HPN,2006-01-02 17:56,-73.7075,41.0669,42.08,33.08,70.20,160.00,4.00,M,30.16,1021.70,8.00,M,BKN,OVC,   ,   ,12000.00,20000.00,M,M,M,M,M,M,M,M,M,39.19,METAR KHPN 021756Z 16004KT 8SM BKN120 OVC200 06/01 A3016 RMK AO2 SLP217 T00560006 10056 20006 58024
HPN,2006-01-02 18:56,-73.7075,41.0669,42.08,33.08,70.20,160.00,4.00,M,30.14,1021.20,7.00,M,BKN,OVC,   ,   ,10000.00,12000.00,M,M,M,M,M,M,M,M,M,39.19,METAR KHPN 021856Z 16004KT 7SM BKN100 OVC120 06/01 A3014 RMK AO2 SLP212 T00560006
HPN,2006-01-02 19:56,-73.7075,41.0669,41.00,33.98,75.88,170.00,5.00,M,30.14,1021.40,7.00,M,BKN,   ,   ,   ,7500.00,M,M,M,M,M,M,M,M,M,M,37.08,METAR KHPN 021956Z 17005KT 7SM BKN075 05/01 A3014 RMK AO2 SLP214 T00500011
HPN,2006-01-02 20:56,-73.7075,41.0669,39.20,33.80,80.79,120.00,4.00,M,30.15,M,4.00,M,BKN,OVC,   ,   ,1500.00,2300.00,M,M,-RA,M,M,M,M,M,M,35.83,METAR KHPN 022056Z 12004KT 4SM -RA BKN015 OVC023 04/01 A3015
HPN,2006-01-02 21:56,-73.7075,41.0669,37.94,35.06,89.25,160.00,3.00,0.03,30.16,1022.10,2.00,M,BKN,OVC,   ,   ,1500.00,2300.00,M,M,-RA BR,M,M,M,M,M,M,35.48,METAR KHPN 022156Z 16003KT 2SM -RA BR BKN015 OVC023 03/02 A3016 RMK AO2 SLP221 P0003 T00330017
HPN,2006-01-02 22:56,-73.7075,41.0669,37.04,35.06,92.46,110.00,5.00,0.03,30.15,1021.50,2.00,M,OVC,   ,   ,   ,1200.00,M,M,M,-RA BR,M,M,M,M,M,M,32.38,METAR KHPN 022256Z 11005KT 2SM -RA BR OVC012 03/02 A3015 RMK AO2 SLP215 P0003 T00280017
HPN,2006-01-02 23:56,-73.7075,41.0669,35.96,33.98,92.43,110.00,5.00,0.08,30.11,1020.40,2.00,M,OVC,   ,   ,   ,900.00,M,M,M,RA BR,M,M,M,M,M,M,31.10,METAR KHPN 022356Z 11005KT 2SM RA BR OVC009 02/01 A3011 RMK AO2 CIG 004V011 SLP204 P0008 60015 T00220011 10056 20022 58014
HPN,2006-01-03 00:56,-73.7075,41.0669,35.96,33.98,92.43,120.00,7.00,M,30.08,1019.20,2.00,M,OVC,   ,   ,   ,500.00,M,M,M,-RA BR,M,M,M,M,M,M,29.61,METAR KHPN 030056Z 12007KT 2SM -RA BR OVC005 02/01 A3008 RMK AO2 SNB2357E51 CIG 004V008 SLP192 T00220011 $
