#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2013-01-01 00:00:00+00:00 2013-12-31 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
HPN,2013-01-01 00:56,-73.7075,41.0669,35.06,19.04,51.64,250.00,6.00,0.00,29.90,1013.40,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,29.22,KHPN 010056Z 25006KT 10SM OVC100 02/M07 A2990 RMK AO2 SLP134 T00171072
HPN,2013-01-01 01:56,-73.7075,41.0669,35.96,19.04,49.83,260.00,6.00,0.00,29.88,1012.40,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,M,M,M,M,M,M,30.30,KHPN 010156Z 26006KT 10SM OVC100 02/M07 A2988 RMK AO2 SLP124 T00221072
HPN,2013-01-01 02:56,-73.7075,41.0669,35.06,19.04,51.64,250.00,5.00,0.00,29.86,1011.70,10.00,M,FEW,M,M,M,9000.00,M,M,M,M,M,M,M,M,M,M,30.03,KHPN 010256Z 25005KT 10SM FEW090 02/M07 A2986 RMK AO2 SLP117 T00171072 58021
HPN,2013-01-01 03:56,-73.7075,41.0669,35.96,19.94,51.78,250.00,6.00,0.00,29.86,1012.00,10.00,16.00,OVC,M,M,M,11000.00,M,M,M,M,M,M,M,M,M,M,30.30,KHPN 010356Z 25006G16KT 10SM OVC110 02/M07 A2986 RMK AO2 SLP120 T00221067
HPN,2013-01-01 04:56,-73.7075,41.0669,35.96,21.02,54.21,250.00,7.00,0.00,29.85,1011.40,10.00,M,BKN,OVC,M,M,7500.00,10000.00,M,M,M,M,M,M,M,M,M,29.61,KHPN 010456Z 25007KT 10SM BKN075 OVC100 02/M06 A2985 RMK AO2 SLP114 T00221061 400281039
HPN,2013-01-01 06:56,-73.7075,41.0669,35.96,23.00,58.94,M,5.00,0.00,29.85,1011.40,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,M,M,M,M,M,M,31.10,KHPN 010656Z VRB05KT 10SM OVC075 02/M05 A2985 RMK AO2 SLP114 T00221050
HPN,2013-01-01 07:56,-73.7075,41.0669,37.04,24.98,61.35,260.00,5.00,0.00,29.84,1011.00,10.00,16.00,OVC,M,M,M,4200.00,M,M,M,M,M,M,M,M,M,M,32.38,KHPN 010756Z 26005G16KT 10SM OVC042 03/M04 A2984 RMK AO2 SLP110 T00281039
HPN,2013-01-01 08:56,-73.7075,41.0669,37.04,26.06,64.17,260.00,7.00,0.00,29.83,1010.90,10.00,M,OVC,M,M,M,4800.00,M,M,M,M,M,M,M,M,M,M,30.92,KHPN 010856Z 26007KT 10SM OVC048 03/M03 A2983 RMK AO2 SLP109 T00281033 50000
HPN,2013-01-01 09:56,-73.7075,41.0669,37.04,26.06,64.17,270.00,7.00,0.00,29.84,1010.90,10.00,M,OVC,M,M,M,4400.00,M,M,M,M,M,M,M,M,M,M,30.92,KHPN 010956Z 27007KT 10SM OVC044 03/M03 A2984 RMK AO2 SLP109 T00281033
HPN,2013-01-01 10:56,-73.7075,41.0669,37.04,26.06,64.17,260.00,6.00,0.00,29.83,1010.70,10.00,M,OVC,M,M,M,4600.00,M,M,M,M,M,M,M,M,M,M,31.60,KHPN 011056Z 26006KT 10SM OVC046 03/M03 A2983 RMK AO2 SLP107 T00281033
